[ WARN:0] global /home/nvidia/host/build_opencv/nv_opencv/modules/videoio/src/cap_gstreamer.cpp (933) open OpenCV | GStreamer warning: Cannot query video position: status=0, value=-1, duration=-1
[ WARN:0] global /home/nvidia/host/build_opencv/nv_opencv/modules/videoio/src/cap_gstreamer.cpp (1184) setProperty OpenCV | GStreamer warning: GStreamer: unhandled property
Gtk-Message: 21:22:14.165: Failed to load module "canberra-gtk-module"
vision_progress frame=5070 capture_ms=16.093 gpu_ms=10.273 post_ms=0.644 total_ms=35.667 fps_avg=32.912 det=0
vision_progress frame=5100 capture_ms=12.432 gpu_ms=10.250 post_ms=0.637 total_ms=31.983 fps_avg=32.904 det=0
vision_progress frame=5130 capture_ms=12.383 gpu_ms=10.138 post_ms=0.653 total_ms=31.914 fps_avg=32.914 det=0
vision_progress frame=5160 capture_ms=12.269 gpu_ms=10.155 post_ms=0.583 total_ms=31.775 fps_avg=32.842 det=0
vision_progress frame=5190 capture_ms=13.130 gpu_ms=10.164 post_ms=0.647 total_ms=32.638 fps_avg=32.890 det=0
vision_progress frame=5220 capture_ms=12.441 gpu_ms=10.177 post_ms=0.643 total_ms=31.926 fps_avg=32.913 det=0
vision_progress frame=5250 capture_ms=12.329 gpu_ms=10.257 post_ms=0.649 total_ms=31.883 fps_avg=32.784 det=0
vision_progress frame=5280 capture_ms=12.285 gpu_ms=10.161 post_ms=0.631 total_ms=32.003 fps_avg=32.885 det=0
vision_progress frame=5310 capture_ms=16.052 gpu_ms=10.137 post_ms=0.583 total_ms=35.550 fps_avg=32.804 det=0
vision_progress frame=5340 capture_ms=12.507 gpu_ms=10.107 post_ms=0.653 total_ms=31.994 fps_avg=33.017 det=0
vision_progress frame=5370 capture_ms=12.365 gpu_ms=10.154 post_ms=0.616 total_ms=31.797 fps_avg=32.799 det=0
vision_progress frame=5400 capture_ms=12.355 gpu_ms=10.279 post_ms=0.635 total_ms=31.901 fps_avg=32.993 det=0
vision_progress frame=5430 capture_ms=16.089 gpu_ms=10.185 post_ms=0.622 total_ms=35.673 fps_avg=32.768 det=0
vision_progress frame=5460 capture_ms=12.373 gpu_ms=10.185 post_ms=0.638 total_ms=32.003 fps_avg=33.031 det=0
vision_progress frame=5490 capture_ms=12.072 gpu_ms=10.141 post_ms=0.627 total_ms=31.543 fps_avg=32.868 det=0
vision_progress frame=5520 capture_ms=15.854 gpu_ms=10.145 post_ms=0.645 total_ms=35.289 fps_avg=32.940 det=0
vision_progress frame=5550 capture_ms=16.208 gpu_ms=10.168 post_ms=0.651 total_ms=35.706 fps_avg=32.767 det=0
vision_progress frame=5580 capture_ms=12.327 gpu_ms=10.236 post_ms=0.650 total_ms=31.849 fps_avg=33.020 det=0
vision_progress frame=5610 capture_ms=12.185 gpu_ms=10.225 post_ms=0.641 total_ms=31.678 fps_avg=32.781 det=0
vision_progress frame=5640 capture_ms=16.123 gpu_ms=10.206 post_ms=0.650 total_ms=35.610 fps_avg=32.951 det=0
vision_progress frame=5670 capture_ms=12.189 gpu_ms=10.145 post_ms=0.654 total_ms=31.652 fps_avg=32.886 det=0
vision_progress frame=5700 capture_ms=12.334 gpu_ms=10.108 post_ms=0.631 total_ms=31.740 fps_avg=32.835 det=0
vision_progress frame=5730 capture_ms=12.450 gpu_ms=10.223 post_ms=0.630 total_ms=31.947 fps_avg=32.909 det=0
vision_progress frame=5760 capture_ms=16.127 gpu_ms=10.306 post_ms=0.628 total_ms=35.693 fps_avg=32.795 det=0
vision_progress frame=5790 capture_ms=12.294 gpu_ms=10.245 post_ms=0.581 total_ms=31.819 fps_avg=33.074 det=0
vision_progress frame=5820 capture_ms=12.060 gpu_ms=10.119 post_ms=0.640 total_ms=31.468 fps_avg=32.851 det=0
vision_progress frame=5850 capture_ms=12.283 gpu_ms=10.173 post_ms=0.641 total_ms=31.741 fps_avg=32.923 det=0
